hospital_id,latitude,longitude,city,name
ca-on-muskoka-algonquin-healthcare-bracebridge,45.0476,-79.3143,Bracebridge,Muskoka Algonquin Healthcare Bracebridge
ca-on-south-bruce-grey-health-centre-kincardine,44.1892,-81.6254,Kincardine,South Bruce Grey Health Centre Kincardine
ca-on-services-de-sante-de-chapleau-health-services,47.8407,-83.4151,Chapleau,Services De Sante De Chapleau Health Services
ca-on-the-lady-minto-hospital,49.0708,-81.0219,Cochrane,The Lady Minto Hospital
ca-on-the-red-lake-margaret-cochenour-memorial-hospital,51.0168,-93.8337,Red Lake,The Red Lake Margaret Cochenour Memorial Hospital
ca-on-arnprior-regional-health,45.4320,-76.3533,Arnprior,Arnprior Regional Health
ca-on-huron-perth-healthcare-alliance-st-marys,43.2625,-81.1396,St Marys,Huron Perth Healthcare Alliance St Marys
ca-on-chatham-kent-health-alliance-wallaceburg,42.5975,-82.3850,Wallaceburg,Chatham Kent Health Alliance Wallaceburg
ca-on-chatham-kent-health-alliance-chatham,42.4100,-82.1850,Chatham,Chatham Kent Health Alliance Chatham
ca-on-huron-perth-healthcare-alliance-clinton,43.6186,-81.5386,Clinton,Huron Perth Healthcare Alliance Clinton
ca-on-huron-perth-healthcare-alliance-stratford,43.3764,-80.9767,Stratford,Huron Perth Healthcare Alliance Stratford
ca-on-huron-perth-healthcare-alliance-seaforth,43.5544,-81.3919,Seaforth,Huron Perth Healthcare Alliance Seaforth
ca-on-four-counties-health-services-corporation,42.6333,-81.7167,Newbury,Four Counties Health Services Corporation
ca-on-north-wellington-health-care-mount-forest,43.9833,-80.7333,Mount Forest,North Wellington Health Care Mount Forest
ca-on-mackenzie-health-jane-street-site,43.8183,-79.5292,Vaughan,Mackenzie Health Jane Street Site
ca-on-manitoulin-health-centre-mindemoya-unit,45.7333,-82.1667,Mindemoya,Manitoulin Health Centre Mindemoya Unit
ca-on-quinte-health-trenton,44.1033,-77.5750,Trenton,Quinte Health Trenton
ca-on-quinte-health-bancroft,45.0569,-77.8544,Bancroft,Quinte Health Bancroft
ca-on-hawkesbury-and-district-general-hospital,45.6072,-74.6075,Hawkesbury,Hawkesbury And District General Hospital
ca-on-blanche-river-health-englehart,47.8222,-79.8736,Englehart,Blanche River Health Englehart
ca-on-blanche-river-health-kirkland,48.1517,-80.0381,Kirkland Lake,Blanche River Health Kirkland
ca-on-kingston-health,44.2250,-76.4950,Kingston,Kingston Health Sciences Centre
ca-on-st-joseph-s-health-care-system-hamilton,43.2450,-79.8717,Hamilton,St Joseph S Health Care System Hamilton
ca-on-windsor-regional-hospital-metropolitan-campus,42.2858,-82.9786,Windsor,Windsor Regional Hospital Metropolitan Campus
ca-on-windsor-regional-hospital-ouellette-campus,42.3100,-83.0286,Windsor,Windsor Regional Hospital Ouellette Campus
ca-on-london-hlth-sciences-ctr-university-hosp,43.0100,-81.2742,London,London Hlth Sciences Ctr University Hosp
ca-on-south-bruce-grey-health-centre-durham,44.1750,-80.8250,Durham,South Bruce Grey Health Centre Durham
ca-on-south-bruce-grey-health-centre-chesley,44.3000,-81.1000,Chesley,South Bruce Grey Health Centre Chesley
ca-on-south-bruce-grey-health-centre-walkerton,44.1333,-81.1500,Walkerton,South Bruce Grey Health Centre Walkerton
ca-on-north-wellington-health-care-palmerston,43.8383,-80.8420,Palmerston,North Wellington Health Care Palmerston
ca-on-north-shore-health-network-richards-landing,46.2917,-83.9533,Richards Landing,North Shore Health Network Richards Landing
